Albedo; 5; Geo; Sword; Medium Male; Mondstadt; Geo DMG Bonus; Cecilia; Basalt Pillar; Sealed Scroll; December 23, 2020; 1.2
Alhaitham; 5; Dendro; Sword; Tall Male; Sumeru; Dendro DMG Bonus; Sand Grease Pupa; Pseudo-Stamens; Trimmed Red Silk; January 18, 2023; 3.4
Aloy; 5; Cryo; Bow; Medium Female; None; Cryo DMG Bonus; Crystal Marrow; Crystalline Bloom; Spectral Heart; September 01, 2021; 2.1
Amber; 4; Pyro; Bow; Medium Female; Mondstadt; ATK; Small Lamp Grass; Everflame Seed; Sharp Arrowhead; September 28, 2020; 1.0
Arataki Itto; 5; Geo; Claymore; Tall Male; Inazuma; CRIT Rate; Onikabuto; Riftborn Regalia; Slime Secretions; December 14, 2021; 2.3
Baizhu; 5; Dendro; Catalyst; Tall Male; Liyue; HP; Violetgrass; Evergloom Ring; Luminescent Pollen; May 02, 2023; 3.6
Barbara; 4; Hydro; Catalyst; Medium Female; Mondstadt; HP; Philanemo Mushroom; Cleansing Heart; Sealed Scroll; September 28, 2020; 1.0
Beidou; 4; Electro; Claymore; Tall Female; Liyue; Electro DMG Bonus; Noctilucous Jade; Lightning Prism; Silver Raven Insignia; September 28, 2020; 1.0
Bennett; 4; Pyro; Sword; Medium Male; Mondstadt; Energy Recharge; Windwheel Aster; Everflame Seed; Silver Raven Insignia; September 28, 2020; 1.0
Candace; 4; Hydro; Polearm; Tall Female; Sumeru; HP; Henna Berry; Light Guiding Tetrahedron; Trimmed Red Silk; September 28, 2022; 3.1
Charlotte; 4; Cryo; Catalyst; Medium Female; Fontaine; ATK; Meshing Gear; Shivada Jade Sliver; Artificed Dynamic Gear; November 08, 2023; 4.2
Chongyun; 4; Cryo; Claymore; Medium Male; Liyue; ATK; Cor Lapis; Hoarfrost Core; Stained Mask; September 28, 2020; 1.0
Collei; 4; Dendro; Bow; Medium Female; Sumeru; ATK; Rukkhashava Mushrooms; Majestic Hooked Beak; Sharp Arrowhead; August 24, 2022; 3.0
Cyno; 5; Electro; Polearm; Medium Male; Sumeru; CRIT DMG; Scarab; Thunderclap Fruitcore; Sealed Scroll; September 28, 2022; 3.1
Dehya; 5; Pyro; Claymore; Tall Female; Sumeru; HP; Sand Grease Pupa; Light Guiding Tetrahedron; Trimmed Red Silk; March 01, 2023; 3.5
Diluc; 5; Pyro; Claymore; Tall Male; Mondstadt; CRIT Rate; Small Lamp Grass; Everflame Seed; Sergeant's Insignia; September 28, 2020; 1.0
Diona; 4; Cryo; Bow; Short Female; Mondstadt; Cryo DMG Bonus; Calla Lily; Hoarfrost Core; Sharp Arrowhead; November 11, 2020; 1.1
Dori; 4; Electro; Claymore; Short Female; Sumeru; HP; Kalpalata Lotus; Thunderclap Fruitcore; Trimmed Red Silk; September 09, 2022; 3.0
Eula; 5; Cryo; Claymore; Tall Female; Mondstadt; CRIT DMG; Dandelion Seed; Crystalline Bloom; Stained Mask; May 18, 2021; 1.5
Faruzan; 4; Anemo; Bow; Medium Female; Sumeru; ATK; Henna Berry; Light Guiding Tetrahedron; Trimmed Red Silk; December 07, 2022; 3.3
Fischl; 4; Electro; Bow; Medium Female; Mondstadt; ATK; Small Lamp Grass; Lightning Prism; Sharp Arrowhead; September 28, 2020; 1.0
Freminet; 4; Cryo; Claymore; Medium Male; Fontaine; ATK; Romaritime Flower; Artificed Spare Clockwork Component � Coppelius; Transoceanic Chunk; September 05, 2023; 4.0
Furina; 5; Hydro; Sword; Medium Female; Fontaine; CRIT Rate; Lakelight Lily; Water That Failed To Transcend; Shimmering Nectar; November 08, 2023; 4.2
Ganyu; 5; Cryo; Bow; Medium Female; Liyue; CRIT DMG; Qingxin; Hoarfrost Core; Shimmering Nectar; January 12, 2021; 1.2
Gorou; 4; Geo; Bow; Medium Male; Inazuma; Geo DMG Bonus; Sango Pearl; Perpetual Heart; Spectral Heart; December 14, 2021; 2.3
Hu Tao; 5; Pyro; Polearm; Medium Female; Liyue; CRIT DMG; Silk Flower; Juvenile Jade; Shimmering Nectar; March 02, 2021; 1.3
Jean; 5; Anemo; Sword; Tall Female; Mondstadt; Healing Bonus; Dandelion Seed; Hurricane Seed; Stained Mask; September 28, 2020; 1.0
Kaedehara Kazuha; 5; Anemo; Sword; Medium Male; Inazuma; Elemental Mastery; Sea Ganoderma; Marionette Core; Silver Raven Insignia; June 29, 2021; 1.6
Kaeya; 4; Cryo; Sword; Tall Male; Mondstadt; Energy Recharge; Calla Lily; Hoarfrost Core; Silver Raven Insignia; September 28, 2020; 1.0
Kamisato Ayaka; 5; Cryo; Sword; Medium Female; Inazuma; CRIT DMG; Sakura Bloom; Perpetual Heart; Kageuchi Handguard; July 21, 2021; 2.0
Kamisato Ayato; 5; Hydro; Sword; Tall Male; Inazuma; CRIT DMG; Sakura Bloom; Dew of Repudiation; Kageuchi Handguard; March 30, 2022; 2.6
Kaveh; 4; Dendro; Claymore; Tall Male; Sumeru; Elemental Mastery; Mourning Flower; Quelled Creeper; Luminescent Pollen; May 02, 2023; 3.6
Keqing; 5; Electro; Sword; Medium Female; Liyue; CRIT DMG; Cor Lapis; Lightning Prism; Shimmering Nectar; September 28, 2020; 1.0
Kirara; 4; Dendro; Sword; Medium Female; Inazuma; HP; Amakumo Fruit; Evergloom Ring; Spectral Heart; May 24, 2023; 3.7
Klee; 5; Pyro; Catalyst; Short Female; Mondstadt; Pyro DMG Bonus; Philanemo Mushroom; Everflame Seed; Sealed Scroll; October 20, 2020; 1.0
Kujou Sara; 4; Electro; Bow; Tall Female; Inazuma; ATK; Dendrobium; Storm Beads; Stained Mask; September 01, 2021; 2.1
Kuki Shinobu; 4; Electro; Sword; Medium Female; Inazuma; HP; Naku Weed; Runic Fang; Spectral Heart; June 21, 2022; 2.7
Layla; 4; Cryo; Sword; Medium Female; Sumeru; HP; Nilotpala Lotus; Perpetual Caliber; Sealed Scroll; November 18, 2022; 3.2
Lisa; 4; Electro; Catalyst; Tall Female; Mondstadt; Elemental Mastery; Valberry; Lightning Prism; Slime Secretions; September 28, 2020; 1.0
Lynette; 4; Anemo; Sword; Medium Female; Fontaine; Anemo DMG Bonus; Lumidouce Bell; Artificed Spare Clockwork Component � Coppelia; Mechanical Spur Gear; August 16, 2023; 4.0
Lyney; 5; Pyro; Bow; Medium Male; Fontaine; CRIT Rate; Rainbow Rose; Emperor's Resolution; Sergeant's Insignia; August 16, 2023; 4.0
Mika; 4; Cryo; Polearm; Medium Male; Mondstadt; HP; Wolfhook; Pseudo-Stamens; Sergeant's Insignia; March 21, 2023; 3.5
Mona; 5; Hydro; Catalyst; Medium Female; Mondstadt; Energy Recharge; Philanemo Mushroom; Cleansing Heart; Shimmering Nectar; September 28, 2020; 1.0
Nahida; 5; Dendro; Catalyst; Short Female; Sumeru; Elemental Mastery; Kalpalata Lotus; Quelled Creeper; Luminescent Pollen; November 02, 2022; 3.2
Neuvillette; 5; Hydro; Catalyst; Tall Male; Fontaine; CRIT DMG; Lumitoile; Fontemer Unihorn; Transoceanic Chunk; September 27, 2023; 4.1
Nilou; 5; Hydro; Sword; Medium Female; Sumeru; HP; Padisarah; Perpetual Caliber; Luminescent Pollen; October 14, 2022; 3.1
Ningguang; 4; Geo; Catalyst; Tall Female; Liyue; Geo DMG Bonus; Glaze Lily; Basalt Pillar; Sergeant's Insignia; September 28, 2020; 1.0
Noelle; 4; Geo; Claymore; Medium Female; Mondstadt; DEF; Valberry; Basalt Pillar; Stained Mask; September 28, 2020; 1.0
Qiqi; 5; Cryo; Sword; Short Female; Liyue; Healing Bonus; Violetgrass; Hoarfrost Core; Sealed Scroll; September 28, 2020; 1.0
Raiden Shogun; 5; Electro; Polearm; Tall Female; Inazuma; Energy Recharge; Amakumo Fruit; Storm Beads; Kageuchi Handguard; September 01, 2021; 2.1
Razor; 4; Electro; Claymore; Medium Male; Mondstadt; Physical DMG Bonus; Wolfhook; Lightning Prism; Stained Mask; September 28, 2020; 1.0
Rosaria; 4; Cryo; Polearm; Tall Female; Mondstadt; ATK; Valberry; Hoarfrost Core; Sergeant's Insignia; April 06, 2021; 1.4
Sangonomiya Kokomi; 5; Hydro; Catalyst; Medium Female; Inazuma; Hydro DMG Bonus; Sango Pearl; Dew of Repudiation; Spectral Heart; September 21, 2021; 2.1
Sayu; 4; Anemo; Claymore; Short Female; Inazuma; Elemental Mastery; Crystal Marrow; Marionette Core; Shimmering Nectar; August 10, 2021; 2.0
Shenhe; 5; Cryo; Polearm; Tall Female; Liyue; ATK; Qingxin; Dragonheir's False Fin; Shimmering Nectar; January 05, 2022; 2.4
Shikanoin Heizou; 4; Anemo; Catalyst; Medium Male; Inazuma; Anemo DMG Bonus; Onikabuto; Runic Fang; Silver Raven Insignia; July 13, 2022; 2.8
Sucrose; 4; Anemo; Catalyst; Medium Female; Mondstadt; Anemo DMG Bonus; Windwheel Aster; Hurricane Seed; Shimmering Nectar; September 28, 2020; 1.0
Tartaglia; 5; Hydro; Bow; Tall Male; Snezhnaya; Hydro DMG Bonus; Starconch; Cleansing Heart; Sergeant's Insignia; November 11, 2020; 1.1
Thoma; 4; Pyro; Polearm; Tall Male; Inazuma; ATK; Fluorescent Fungus; Smoldering Pearl; Silver Raven Insignia; November 02, 2021; 2.2
Tighnari; 5; Dendro; Bow; Medium Male; Sumeru; Dendro DMG Bonus; Nilotpala Lotus; Majestic Hooked Beak; Luminescent Pollen; August 24, 2022; 3.0
Traveler; 5; None; Sword; Medium Male; None; ATK; Damaged Mask; Brilliant Diamond Sliver; Ominous Mask; September 28, 2020; 1.0
Venti; 5; Anemo; Bow; Medium Male; Mondstadt; Energy Recharge; Cecilia; Hurricane Seed; Slime Secretions; September 28, 2020; 1.0
Wanderer; 5; Anemo; Catalyst; Medium Male; Sumeru; CRIT Rate; Rukkhashava Mushrooms; Perpetual Caliber; Kageuchi Handguard; December 07, 2022; 1.0
Wriothesley; 5; Cryo; Catalyst; Tall Male; Fontaine; CRIT DMG; Meshing Gear; Shivada Jade Sliver; Artificed Dynamic Gear; October 17, 2023; 3.3
Xiangling; 4; Pyro; Polearm; Medium Female; Liyue; Elemental Mastery; Jueyun Chili; Everflame Seed; Slime Secretions; September 28, 2020; 4.1
Xiao; 5; Anemo; Polearm; Medium Male; Liyue; CRIT Rate; Qingxin; Juvenile Jade; Slime Secretions; February 03, 2021; 1.0
Xingqiu; 4; Hydro; Sword; Medium Male; Liyue; ATK; Silk Flower; Cleansing Heart; Stained Mask; September 28, 2020; 1.3
Xinyan; 4; Pyro; Claymore; Medium Female; Liyue; ATK; Violetgrass; Everflame Seed; Silver Raven Insignia; December 01, 2020; 1.0
Yae Miko; 5; Electro; Catalyst; Tall Female; Inazuma; CRIT Rate; Sea Ganoderma; Dragonheir's False Fin; Kageuchi Handguard; February 16, 2022; 1.1
Yanfei; 4; Pyro; Catalyst; Medium Female; Liyue; Pyro DMG Bonus; Noctilucous Jade; Juvenile Jade; Silver Raven Insignia; April 28, 2021; 2.5
Yaoyao; 4; Dendro; Polearm; Short Female; Liyue; HP; Jueyun Chili; Quelled Creeper; Slime Secretions; January 18, 2023; 1.5
Yelan; 5; Hydro; Bow; Tall Female; Liyue; CRIT Rate; Starconch; Runic Fang; Sergeant's Insignia; May 31, 2022; 3.4
Yoimiya; 5; Pyro; Bow; Medium Female; Inazuma; CRIT Rate; Naku Weed; Smoldering Pearl; Sealed Scroll; August 10, 2021; 2.7
Yun Jin; 4; Geo; Polearm; Medium Female; Liyue; Energy Recharge; Glaze Lily; Riftborn Regalia; Stained Mask; January 05, 2022; 2.0
Zhongli; 5; Geo; Polearm; Tall Male; Liyue; Geo DMG Bonus; Cor Lapis; Basalt Pillar; Slime Secretions; December 01, 2020; 2.4
